"Station","lon","lat"
"Aberdeen Station",150.8921355,-32.1676989
"Adamstown Station",151.7200286,-32.9338536
"Albion Park Station",150.791667,-34.566667
"Allawah Station",151.1145008,-33.9697109
"Arncliffe Station",151.151694,-33.939924
"Artarmon Station",151.190096,-33.816426
"Ashfield Station",151.1258555,-33.88761
"Asquith Station",151.1081485,-33.6886932
"Auburn Station",151.0328916,-33.8491889
"Austinmer Station",150.9293414,-34.3064648
"Awaba Station",151.542003,-33.0130459
"Banksia Station",151.1404131,-33.9453067
"Bankstown Station",151.0341437,-33.9178532
"Bardwell Park Station",151.1248947,-33.9315724
"Bargo Station",150.5800307,-34.2910909
"Bathurst Station",149.5832252,-33.4255921
"Beecroft Station",151.066388,-33.7496856
"Bellambi Station",150.9100571,-34.3628721
"Belmore Station",151.0883315,-33.917181
"Berala Station",151.0322785,-33.8715545
"Beresfield Station",151.658117,-32.7991168
"Berowra Station",151.1531536,-33.6235453
"Berry Station",150.6965918,-34.7803092
"Beverly Hills Station",151.0811685,-33.9490339
"Bexley North Station",151.1135141,-33.9375236
"Birrong Station",151.0240292,-33.8932932
"Blackheath Station",150.2843448,-33.6332728
"Blacktown Station",150.9068818,-33.7680039
"Blaxland Station",150.6096338,-33.7436417
"Bomaderry Station",150.6097649,-34.8538624
"Bombo Station",150.8538007,-34.6585544
"Bondi Junction Station",151.2484687,-33.8910387
"Booragul Station",151.6048998,-32.9716048
"Bowral Station",150.4169252,-34.477915
"Branxton Station",151.3457232,-32.6621849
"Broadmeadow Station",151.7349472,-32.9229578
"Bullaburra Station",150.4146564,-33.7235886
"Bulli Station",150.9146889,-34.3344114
"Bundanoon Station",150.2992662,-34.6560853
"Burradoo Station",150.3980166,-34.4941178
"Burwood Station",151.1043119,-33.8772471
"Cabramatta Station",150.9391223,-33.8945914
"Camellia Station",151.0242356,-33.8189716
"Campbelltown Station",150.8140653,-34.0640915
"Campsie Station",151.1032361,-33.910351
"Canley Vale Station",150.9436055,-33.8871636
"Canterbury Station",151.1185588,-33.9118969
"Cardiff Station",151.6629251,-32.941758
"Caringbah Station",151.1225723,-34.0415877
"Carlingford Station",151.0471155,-33.7821542
"Carlton Station",151.1240111,-33.9682313
"Carramar Station",150.9615146,-33.884312
"Casula Station",150.8934296,-33.956309
"Central Station",151.2069512,-33.8831733
"Chatswood Station",151.18138,-33.796967
"Cheltenham Station",151.0785565,-33.7557491
"Chester Hill Station",150.9998507,-33.8835918
"Circular Quay Station",151.210709,-33.8611651
"Civic Station",151.7720325,-32.9266904
"Clarendon Station",150.7879184,-33.6085113
"Clyde Station",151.0168574,-33.8358494
"Coalcliff Station",150.9773712,-34.2421815
"Cockle Creek Station",151.6235135,-32.9426653
"Coledale Station",150.943355,-34.2893552
"Como Station",151.0680873,-34.0043673
"Concord West Station",151.085888,-33.8483336
"Coniston Station",150.8851264,-34.437856
"Corrimal Station",150.9048728,-34.3757308
"Cowan Station",151.1716441,-33.5935663
"Cringila Station",150.8783113,-34.467024
"Cronulla Station",151.1520753,-34.0512883
"Croydon Station",151.1151049,-33.8832106
"Dapto Station",150.791767,-34.4930554
"Denistone Station",151.0867853,-33.7995547
"Domestic Station",151.1810645,-33.9336119
"Doonside Station",150.869173,-33.7637473
"Dora Creek Station",151.5010313,-33.0837223
"Douglas Park Station",150.7101777,-34.1831444
"Dulwich Hill Station",151.141199,-33.9110848
"Dundas Station",151.0332766,-33.8038778
"Dungog Station",151.759386,-32.4023877
"East Hills Station",150.9846621,-33.9617727
"East Maitland Station",151.5874878,-32.7445004
"East Richmond Station",150.7591251,-33.6017917
"Eastwood Station",151.0821577,-33.7901004
"Edgecliff Station",151.2367353,-33.8797328
"Edmondson Park Station",150.85866,-33.9692834
"Emu Plains Station",150.6718826,-33.7457342
"Engadine Station",151.013931,-34.066841
"Epping Station",151.0821205,-33.7727364
"Erskineville Station",151.1855598,-33.9000757
"Exeter Station",150.3173331,-34.6136314
"Fairfield Station",150.9568218,-33.8723854
"Fairy Meadow Station",150.8964756,-34.3953711
"Fassifern Station",151.581183,-32.985397
