Station,LineGroup,Line
Aberdeen Station,HUN,Hunter Line
Adamstown Station,CCN,Central Coast & Newcastle Line
Albion Park Station,SCO,South Coast Line
Allawah Station,T4,Eastern Suburbs & Illawarra Line
Arncliffe Station,T4,Eastern Suburbs & Illawarra Line
#Artarmon Station,T1,North Shore Line
#Artarmon Station,T1,Western Line
Artarmon Station,T9,Northern Line
#Artarmon Station,CCN,Central Coast & Newcastle Line
Ashfield Station,T2,Inner-West Line
#Asquith Station,T1,North Shore Line
Asquith Station,CCN,Central Coast & Newcastle Line
#Auburn Station,T1,North Shore Line
#Auburn Station,T1,Western Line
Auburn Station,T2,Inner-West Line
#Auburn Station,T6,Carlingford Line
Austinmer Station,SCO,South Coast Line
Awaba Station,CCN,Central Coast & Newcastle Line
Banksia Station,T4,Eastern Suburbs & Illawarra Line
Bankstown Station,T3,Bankstown Line
Bardwell Park Station,T8,Airport & South Line
Bargo Station,SHL,Southern Highland Line
Bathurst Station,BMT,Blue Mountains Line
Beecroft Station,T9,Northern Line
Bell Station,BMT,Blue Mountains Line
Bellambi Station,SCO,South Coast Line
Belmore Station,T3,Bankstown Line
Berala Station,T3,Bankstown Line
Beresfield Station,HUN,Hunter Line
Berowra Station,T1,North Shore Line
#Berowra Station,CCN,Central Coast & Newcastle Line
Berry Station,SCO,South Coast Line
Beverly Hills Station,T8,Airport & South Line
Bexley North Station,T8,Airport & South Line
Birrong Station,T3,Bankstown Line
Blackheath Station,BMT,Blue Mountains Line
#Blacktown Station,T1,Western Line
#Blacktown Station,BMT,Blue Mountains Line
Blacktown Station,T5,Cumberland Line
Blaxland Station,BMT,Blue Mountains Line
Bomaderry Station,SCO,South Coast Line
Bombo Station,SCO,South Coast Line
Bondi Junction Station,T4,Eastern Suburbs & Illawarra Line
#Bondi Junction Station,SCO,South Coast Line
Booragul Station,CCN,Central Coast & Newcastle Line
Bowral Station,SHL,Southern Highland Line
Branxton Station,HUN,Hunter Line
Broadmeadow Station,CCN,Central Coast & Newcastle Line
Bullaburra Station,BMT,Blue Mountains Line
Bulli Station,SCO,South Coast Line
Bundanoon Station,SHL,Southern Highland Line
Burradoo Station,SHL,Southern Highland Line
#Burwood Station,T1,North Shore Line
#Burwood Station,T1,Western Line
Burwood Station,T2,Inner-West Line
#Burwood Station,T6,Carlingford Line
#Burwood Station,T9,Northern Line
Cabramatta Station,T2,Inner-West Line
#Cabramatta Station,T3,Bankstown Line
#Cabramatta Station,T5,Cumberland Line
Camellia Station,T6,Carlingford Line
Campbelltown Station,T8,Airport & South Line
#Campbelltown Station,SHL,Southern Highland Line
Campsie Station,T3,Bankstown Line
Canley Vale Station,T2,Inner-West Line
#Canley Vale Station,T5,Cumberland Line
Canterbury Station,T3,Bankstown Line
Cardiff Station,CCN,Central Coast & Newcastle Line
Caringbah Station,T4,Eastern Suburbs & Illawarra Line
Carlingford Station,T6,Carlingford Line
Carlton Station,T4,Eastern Suburbs & Illawarra Line
Carramar Station,T3,Bankstown Line
Casula Station,T2,Inner-West Line
#Casula Station,T5,Cumberland Line
Central Station,CYC,City Circle
#Central Station,T1,North Shore Line
#Central Station,T1,Western Line
#Central Station,T2,Inner-West Line
#Central Station,T3,Bankstown Line
#Central Station,T4,Eastern Suburbs & Illawarra Line
#Central Station,T6,Carlingford Line
#Central Station,T8,Airport & South Line
#Central Station,T9,Northern Line
#Central Station,BMT,Blue Mountains Line
#Central Station,CCN,Central Coast & Newcastle Line
#Central Station,SCO,South Coast Line
#Central Station,SHL,Southern Highland Line
#Chatswood Station,T1,North Shore Line
#Chatswood Station,T1,Western Line
Chatswood Station,T9,Northern Line
#Chatswood Station,CCN,Central Coast & Newcastle Line
Cheltenham Station,T9,Northern Line
Chester Hill Station,T3,Bankstown Line
Circular Quay Station,CYC,City Circle
#Circular Quay Station,T2,Inner-West Line
#Circular Quay Station,T3,Bankstown Line
#Circular Quay Station,T8,Airport & South Line
#Circular Quay Station,SHL,Southern Highland Line
#Clarendon Station,T1,Western Line
Clarendon Station,T5,Cumberland Line
#Clyde Station,T1,North Shore Line
#Clyde Station,T1,Western Line
Clyde Station,T2,Inner-West Line
#Clyde Station,T6,Carlingford Line
Coalcliff Station,SCO,South Coast Line
Cockle Creek Station,CCN,Central Coast & Newcastle Line
Coledale Station,SCO,South Coast Line
Como Station,T4,Eastern Suburbs & Illawarra Line
Concord West Station,T9,Northern Line
Coniston Station,SCO,South Coast Line
Corrimal Station,SCO,South Coast Line
Cowan Station,CCN,Central Coast & Newcastle Line
Cringila Station,SCO,South Coast Line
Cronulla Station,T4,Eastern Suburbs & Illawarra Line
Croydon Station,T2,Inner-West Line
Dapto Station,SCO,South Coast Line
Denistone Station,T9,Northern Line
Domestic Station,T8,Airport & South Line
#Domestic Station,SHL,Southern Highland Line
Doonside Station,T1,Western Line
Dora Creek Station,CCN,Central Coast & Newcastle Line
Douglas Park Station,SHL,Southern Highland Line
Dulwich Hill Station,T3,Bankstown Line
Dundas Station,T6,Carlingford Line
Dungog Station,HUN,Hunter Line
